Tên gói cước,Giá,Loại,Cú pháp
CT70,70000 VND/30 ngày,ClipTV,Dk CT70 gửi 999
CT100,100000 VND/30 ngày,ClipTV, Dk CT100 gửi 999
MFY250,250000 VND/30 ngày,ClipTV, Dk MFY250 gửi 999
6MFY250,1500000 VND/180 ngày,ClipTV,Dk 6MFY250 gửi 999
12MFY250,3000000 VND/360 ngày,ClipTV,Dk 12MFY250 gửi 999
24MFY250,6000000 VND/720 ngày,ClipTV,Dk 24MFY250 gửi 999
MFY250C,250000 VND/30 ngày,ClipTV,Dk MFY250C gửi 999
6MFY250C,1500000 VND/180 ngày,ClipTV,Dk 6MFY250C gửi 999
12MFY250C,3000000 VND/360 ngày,ClipTV,Dk 12MFY250C gửi 999
24MFY250C,6000000 VND/720 ngày,ClipTV,Dk 24MFY250C gửi 999
CT159,159000 VND/30 ngày,ClipTV,Dk CT159 gửi 999
12CT159,1908000 VND/360 ngày,ClipTV,Dk 12CT159 gửi 999
C1,3000 VND/1 ngày,ClipTV,Dk C1 gửi 999
C30,40000 VND/30 ngày,ClipTV,Dk C30 gửi 999
MFY,200000 VND/30 ngày,ClipTV,Dk MFY gửi 999
MFY200,200000 VND/30 ngày,ClipTV,Dk MFY200 gửi 999
CGD,"8,000 VND/1 Ngày",Mobigames,DK CGD gửi 999
CGDT,"199,000 VND/1 Tháng",Mobigames,Dk CGDT gửi 999
CGDG ,"99,000 VND/5 Giờ",Mobigames,Dk CGDG gửi 999
GCD ,"5,000 VND/1 Ngày",Mobigames,DK GCD gửi 9346
CGV ,"145,000 VND/5 Giờ",Mobigames,DK CGV gửi 999
GCM ,"120,000 VND/1 Tháng",Mobigames,DK GCM gửi 9346
GCW ,"30,000 VND/1 Tuần",Mobigames,DK GCW gửi 9346
GCH ,"45,000 VND/5 Giờ",Mobigames,DK GCH gửi 9346
OND ,"3,000 VND/1 Ngày",Mobigames,DK OND gửi 9346
ONW ,"20,000 VND/1 Tuần",Mobigames,DK ONW gửi 9346
Caw ,"20,000 VND/1 Tuần",Mobigames,Dk Caw gửi 9346
Cad ,"3,000 VND/1 Ngày",Mobigames,Dk Cad gửi 9346
